CL_NM,PARTN_CO,TOUR_PD,ALL_KWRD_CN,ALL_KWRD_CO,ALL_CNTNTS_CN,ALL_CNTNTS_CO,PLAN_YM,TOUR_BEGIN_YM,조사기간
친구,3,3,"친구,천천히 걷기,행군",3,,0,202304,202304,202303
친구,2,3,"친구,휴식,제주의 문화유산",3,"거슨새미오름,도두동 무지개 해안도로,봄날카페,블루하와이리조트,산방산탄산온천,새별오름,서귀포매일올레시장,아르떼뮤지엄,용머리해안,크라운돼지,함덕해수욕장",11,202304,202304,202303
친구,2,4,"친구,레저와 체험,ㅇㅇ",3,"녹산로유채꽃길,레이저서바이벌M,마라도(마라해양도립공원),만장굴,메이즈랜드,섭지코지,성산일출봉(UNESCO 세계자연유산),에코랜드 테마파크,우도봉 ATV,우도잠수함(제주씨월드),월정 투명카약,일출랜드,제주레일바이크,제주레포츠랜드,제주베니스랜드",15,202304,202304,202303
친구,4,3,"친구,휴식과 치유 여행,친구",3,,0,202304,202304,202303
부모,10,4,"부모,제주의 문화유산,1",3,제주국제공항,1,202304,202305,202303
아이,4,3,"아이,레저와 체험,맛집,힐링",4,,0,202304,202304,202303
커플,2,4,"커플,휴식과 치유 여행,치유여행",3,"동문시장(주),비자림,산방산 용머리해안 지질트레일,산방산유람선,서귀포매일올레시장,섭지코지,성산항,쇠소깍,아쿠아플라넷 제주,애월한담해안산책로,용두암해안도로카페거리,우도(해양도립공원),주상절리대(중문대포해안),천제연폭포,카멜리아힐,한림공원,협재굴(한림공원),황금굴(한림공원)",18,202304,202305,202303
부모,4,4,"부모,휴식과 치유 여행,반려견동반",3,"1100고지습지,고집돌우럭(제주공항점),다인리조트,닭머르해안길,도두동 무지개 해안도로,미영이네,박수기정,백기해녀의 집,산방산 랜드,산방산탄산온천,섭지코지,쇠소깍,애월해안도로,용머리해안,우도(해양도립공원),우도등대,우도봉 풍경,우도산호해변 홍조단괴 서빈백사,우도해녀식당,제주국제공항,카멜리아힐,함덕백사장 & 서우봉,해녀김밥 본점,협재해녀의집,협재해수욕장,환상숲 곶자왈공원,환상숲곶자왈 담앙족욕",27,202304,202305,202303
아이,4,4,"아이,제주의 문화유산,문하,ㅇ,ㅎ",5,"노라바,다이나믹메이즈,닭머르해안길,대기정,동문시장(주),만장굴,메이즈랜드,명진전복,새별오름,성산일출봉(UNESCO 세계자연유산),쇠소깍,스누피가든,신화관 제주신화월드 호텔 앤 리조트,아침미소목장,안녕협재씨,우도(해양도립공원),제주국제공항,제주김만복(만복이네김밥집),제주레일바이크,제주민속촌,칠사돈,카멜리아힐,테디베어뮤지엄제주,해녀김밥 본점",24,202304,202304,202303
부모,8,4,"부모,휴식과 치유 여행,가족여행,아이",4,"다랑쉬오름(월랑봉),동문시장(주),소랑풀빌라,신창풍차해안도로,엉알해안,용머리해안,용연,자리돔횟집,제주국제공항(정뜨르비행장),큰엉해안경승지,해월정",11,202304,202304,202303
부모,10,4,"부모,레저와 체험,1주살기",3,"금호리조트제주,김명자굴국밥(성산점),마라도(마라해양도립공원),미영이네,사계해안도로,산방산 수국,산방산 용머리해안 지질트레일,서귀포매일올레시장,섭지코지,성산일출봉(UNESCO 세계자연유산),애월해안도로,온평리 포구,온평리 환해장성,용담/용두암 해안도로,용머리해안,월령선인장군락지,월정리해변,이중섭거리,절물자연휴양림휴게소,정방폭포,제주민속촌,주상절리대(중문대포해안),천제연폭포,천지연폭포,표선해수욕장,한림공원,협재해수욕장,환상숲 곶자왈공원,휴애리 자연생활공원",29,202304,202304,202303
부모,2,14,"힐링,체험,술,휴식과 치유 여행,부모",5,,0,202304,202304,202303
혼자,1,3,"혼자,휴식과 치유 여행,급하게떠나는",3,,0,202304,202304,202303
아이,4,4,"휴식과 치유 여행,아이,제주도",3,,0,202304,202304,202303
부모,3,3,"휴식과 치유 여행,부모,가족",3,"서우봉,선녀와나무꾼,제주절물자연휴양림",3,202304,202304,202303
부모,7,5,"부모,휴식과 치유 여행,식도락",3,"가파도,가파도 마라도 정기여객선,그랑블루 요트투어,동문시장(주),마노르블랑,바다를 본 돼지(서귀포점),사계해변,산방산,섭지해녀의집,쇠소깍,스누피가든,신산공원,쌍둥이횟집본점,용연,월정리해변,윈드1947 카트 테마파크,제주국제공항,제주국제공항(정뜨르비행장),카멜리아힐,해월정,황금어장(제주시),휘닉스 제주 섭지코지,휴애리 자연생활공원",23,202304,202304,202303
친구,4,4,"가족여행,효도관광,먹방투어,친구,휴식과 치유 여행",5,,0,202304,202304,202303
