CL_NM,TRRSRT_NM,ADDR,TEL_NO,ENTRN_FLAG_NM,ENTRN_NMPR_CO,ENTRN_DE
공연전시,감귤박물관,제주 서귀포시 효돈순환로 441,647673010,무료장애인,7,20230128
공연전시,서귀포천문과학문화관,제주 서귀포시 1100로 506-1 천문과학문화관,647399701,무료경로,25,20230103
공연전시,서귀포천문과학문화관,제주 서귀포시 1100로 506-1 천문과학문화관,647399701,무료경로,11,20230104
공연전시,서귀포천문과학문화관,제주 서귀포시 1100로 506-1 천문과학문화관,647399701,무료유아,11,20230105
공연전시,서귀포천문과학문화관,제주 서귀포시 1100로 506-1 천문과학문화관,647399701,무료유아,7,20230106
공연전시,서귀포천문과학문화관,제주 서귀포시 1100로 506-1 천문과학문화관,647399701,무료유아,7,20230107
공연전시,서귀포천문과학문화관,제주 서귀포시 1100로 506-1 천문과학문화관,647399701,무료유아,16,20230108
공연전시,서귀포천문과학문화관,제주 서귀포시 1100로 506-1 천문과학문화관,647399701,무료유아,10,20230110
공연전시,서귀포천문과학문화관,제주 서귀포시 1100로 506-1 천문과학문화관,647399701,무료유아,7,20230111
공연전시,서귀포천문과학문화관,제주 서귀포시 1100로 506-1 천문과학문화관,647399701,무료경로,6,20230112
공연전시,서귀포천문과학문화관,제주 서귀포시 1100로 506-1 천문과학문화관,647399701,무료유아,2,20230113
공연전시,서귀포천문과학문화관,제주 서귀포시 1100로 506-1 천문과학문화관,647399701,무료유아,1,20230114
공연전시,서귀포천문과학문화관,제주 서귀포시 1100로 506-1 천문과학문화관,647399701,무료유아,4,20230115
공연전시,서귀포천문과학문화관,제주 서귀포시 1100로 506-1 천문과학문화관,647399701,무료경로,2,20230117
공연전시,서귀포천문과학문화관,제주 서귀포시 1100로 506-1 천문과학문화관,647399701,무료유아,3,20230118
공연전시,서귀포천문과학문화관,제주 서귀포시 1100로 506-1 천문과학문화관,647399701,무료장애인,11,20230119
공연전시,서귀포천문과학문화관,제주 서귀포시 1100로 506-1 천문과학문화관,647399701,무료경로,9,20230120
공연전시,서귀포천문과학문화관,제주 서귀포시 1100로 506-1 천문과학문화관,647399701,무료유아,9,20230121
공연전시,서귀포천문과학문화관,제주 서귀포시 1100로 506-1 천문과학문화관,647399701,무료유아,2,20230126
공연전시,서귀포천문과학문화관,제주 서귀포시 1100로 506-1 천문과학문화관,647399701,무료유아,1,20230127
공연전시,서귀포천문과학문화관,제주 서귀포시 1100로 506-1 천문과학문화관,647399701,무료유아,4,20230129
공연전시,서귀포천문과학문화관,제주 서귀포시 1100로 506-1 천문과학문화관,647399701,무료경로,7,20230131
공연전시,서복전시관,제주 서귀포시 칠십리로 156-8 서복전시관,647606361,무료경로,13,20230101
공연전시,서복전시관,제주 서귀포시 칠십리로 156-8 서복전시관,647606361,무료경로,8,20230102
공연전시,서복전시관,제주 서귀포시 칠십리로 156-8 서복전시관,647606361,무료경로,11,20230103
공연전시,서복전시관,제주 서귀포시 칠십리로 156-8 서복전시관,647606361,무료유아,21,20230104
공연전시,서복전시관,제주 서귀포시 칠십리로 156-8 서복전시관,647606361,무료경로,12,20230105
공연전시,서복전시관,제주 서귀포시 칠십리로 156-8 서복전시관,647606361,무료경로,17,20230106
공연전시,서복전시관,제주 서귀포시 칠십리로 156-8 서복전시관,647606361,무료경로,11,20230107
공연전시,서복전시관,제주 서귀포시 칠십리로 156-8 서복전시관,647606361,무료경로,10,20230108
공연전시,서복전시관,제주 서귀포시 칠십리로 156-8 서복전시관,647606361,무료경로,2,20230109
공연전시,서복전시관,제주 서귀포시 칠십리로 156-8 서복전시관,647606361,무료장애인,6,20230110
공연전시,서복전시관,제주 서귀포시 칠십리로 156-8 서복전시관,647606361,무료경로,8,20230111
공연전시,서복전시관,제주 서귀포시 칠십리로 156-8 서복전시관,647606361,무료경로,3,20230112
공연전시,서복전시관,제주 서귀포시 칠십리로 156-8 서복전시관,647606361,무료장애인,13,20230113
공연전시,서복전시관,제주 서귀포시 칠십리로 156-8 서복전시관,647606361,무료경로,13,20230114
공연전시,서복전시관,제주 서귀포시 칠십리로 156-8 서복전시관,647606361,무료경로,5,20230115
공연전시,서복전시관,제주 서귀포시 칠십리로 156-8 서복전시관,647606361,무료경로,10,20230116
공연전시,서복전시관,제주 서귀포시 칠십리로 156-8 서복전시관,647606361,무료경로,8,20230117
공연전시,서복전시관,제주 서귀포시 칠십리로 156-8 서복전시관,647606361,무료경로,15,20230118
공연전시,서복전시관,제주 서귀포시 칠십리로 156-8 서복전시관,647606361,무료경로,7,20230119
공연전시,서복전시관,제주 서귀포시 칠십리로 156-8 서복전시관,647606361,무료경로,8,20230120
공연전시,서복전시관,제주 서귀포시 칠십리로 156-8 서복전시관,647606361,무료장애인,7,20230121
공연전시,서복전시관,제주 서귀포시 칠십리로 156-8 서복전시관,647606361,무료경로,7,20230122
공연전시,서복전시관,제주 서귀포시 칠십리로 156-8 서복전시관,647606361,무료경로,29,20230123
공연전시,서복전시관,제주 서귀포시 칠십리로 156-8 서복전시관,647606361,무료경로,2,20230124
공연전시,서복전시관,제주 서귀포시 칠십리로 156-8 서복전시관,647606361,무료경로,2,20230125
공연전시,서복전시관,제주 서귀포시 칠십리로 156-8 서복전시관,647606361,무료경로,16,20230126
